"filename", "language", "XML", "CMake", "C++", "Dart", "YAML", "Swift", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/fruit.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/moving_platform.dart", "Dart", 0, 0, 0, 1, 0, 0, 2, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/rock_head.dart", "Dart", 0, 0, 0, 1, 0, 0, 4, 2, 7
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/saw.dart", "Dart", 0, 0, 0, 1, 0, 0, 1, 1, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/saw_circle_component.dart", "Dart", 0, 0, 0, 2, 0, 0, 2, 3, 7
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/spike_head.dart", "Dart", 0, 0, 0, 1, 0, 0, 1, 1, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/spiked_ball_component.dart", "Dart", 0, 0, 0, 4, 0, 0, 1, 1, 6
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/trampoline.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/button.dart", "Dart", 0, 0, 0, 195, 0, 0, 39, 22, 256
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/corner_outline.dart", "Dart", 0, 0, 0, -23, 0, 0, 1, -1, -23
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/curves.dart", "Dart", 0, 0, 0, -2, 0, 0, 0, 0, -2
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/dialog_container.dart", "Dart", 0, 0, 0, 139, 0, 0, 16, 22, 177
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/dialog_page.dart", "Dart", 0, 0, 0, 52, 0, 0, 1, 10, 63
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/slider.dart", "Dart", 0, 0, 0, 130, 0, 0, 14, 28, 172
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/utils.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/volume.dart", "Dart", 0, 0, 0, -6, 0, 0, 0, -2, -8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/menu_page.dart", "Dart", 0, 0, 0, 4, 0, 0, 2, 0, 6
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/character_picker.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/level_btn.dart", "Dart", 0, 0, 0, -43, 0, 0, -4, -12, -59
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/level_grid.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/level_tile.dart", "Dart", 0, 0, 0, 6, 0, 0, 2, 0, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/menu_dummy_character.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 2
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/menu_top_bar.dart", "Dart", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/pixel_quest.dart", "Dart", 0, 0, 0, 8, 0, 0, 2, 2, 12
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/router.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/splash/flutter extensions/build_context.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 2, 9
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/splash/flutter extensions/int_double_extensions.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/flutter/generated_plugins.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 4, 0, 0, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/pubspec.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/flutter/generated_plugins.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 13, 2, 7, 985, 3, 4, 234, 182, 1430
